,Date,Number,Line,Sample,No leaves,Diameter,Perpendicular,Height,Average Leaf Thickness
83,2024-09-11,39,6,RNROA4,8,16.9,13.2,10.6,0.0
84,2024-09-11,40,6,RNROC2,9,17.8,12.1,12.1,0.0
85,2024-09-11,41,6,RNROA3,8,16.8,12.7,10.5,0.0
86,2024-09-11,42,6,RNROB5,6,13.1,9.6,7.5,0.0
87,2024-09-11,43,6,RNROA2,7,13.4,11.5,9.6,0.0
88,2024-09-11,44,6,RNROC4,8,12.8,11.9,9.6,0.0
89,2024-09-11,45,6,RNROB4,8,14.6,14.3,12.1,0.0
90,2024-09-14,1,1,RWGRB5,13,19.1,16.8,10.4,0.0
91,2024-09-14,2,1,RWGRA3,13,17.8,15.1,11.3,0.0
92,2024-09-14,3,1,RWGRC1,17,18.1,18.5,9.7,0.0
93,2024-09-14,4,1,RWGRA2,14,16.2,16.5,10.2,0.0
94,2024-09-14,5,1,RWGRB3,11,20.5,17.6,10.1,0.0
95,2024-09-14,6,1,RWGRA4,11,19.5,14.2,8.7,0.0
96,2024-09-14,7,1,RWGRC3,13,18.1,16.5,10.2,0.0
97,2024-09-14,8,1,RWGRA5,14,17.3,14.2,9.7,0.0
98,2024-09-14,9,2,RWGRC2,16,20.9,19.6,11.5,0.0
99,2024-09-14,10,2,RWGRB4,14,23.6,20.7,12.2,0.0
100,2024-09-14,11,2,RWGRC5,13,19.2,18.1,11.8,0.0
101,2024-09-14,12,2,RWGRB1,12,20.1,19.8,12.2,0.0
102,2024-09-14,13,2,RWGRC4,14,18.9,19.6,10.7,0.0
103,2024-09-14,14,2,RWGRB2,11,14.7,11.7,10.2,0.0
104,2024-09-14,15,2,RWGRA1,15,17.9,17.1,11.4,0.0
105,2024-09-14,16,3,RNGRA3,12,21.2,13.8,12.5,0.0
106,2024-09-14,17,3,RNGRB5,13,23.6,22.4,12.8,0.0
107,2024-09-14,18,3,RNGRC4,15,21.5,20.4,13.1,0.0
108,2024-09-14,19,3,RNGRA1,13,17.5,15.6,11.8,0.0
109,2024-09-14,20,3,RNGRC5,14,21.1,17.8,12.2,0.0
110,2024-09-14,21,3,RNGRB2,12,18.4,18.9,11.9,0.0
111,2024-09-14,22,3,RNGRA2,12,21.2,17.7,10.2,0.0
112,2024-09-14,23,4,RNROB2,9,18.8,14.1,11.6,0.0
113,2024-09-14,24,4,RNROC3,9,16.4,15.8,11.2,0.0
114,2024-09-14,25,4,RNROA5,7,13.3,11.2,8.1,0.0
115,2024-09-14,26,4,RNROC5,9,16.7,15.8,11.2,0.0
116,2024-09-14,27,4,RNROB3,8,18.7,15.2,9.6,0.0
117,2024-09-14,28,4,RNROA1,5,9.6,7.8,7.1,0.0
118,2024-09-14,29,4,RNROC1,9,15.3,12.5,11.2,0.0
119,2024-09-14,30,5,RNGRC1,15,20.7,19.2,13.4,0.0
120,2024-09-14,31,5,RNGRB3,14,21.1,16.4,13.8,0.0
121,2024-09-14,32,5,RNGRA5,11,15.4,17.1,12.8,0.0
122,2024-09-14,33,5,RNGRB1,12,21.2,17.4,13.6,0.0
123,2024-09-14,34,5,RNGRC3,14,20.2,22.4,13.1,0.0
124,2024-09-14,35,5,RNGRB4,15,19.4,17.8,11.4,0.0
125,2024-09-14,36,5,RNGRA4,10,15.4,12.7,12.9,0.0
126,2024-09-14,37,5,RNGRC2,12,17.9,20.2,13.3,0.0
127,2024-09-14,38,6,RNROB1,5,10.4,9.7,7.9,0.0
128,2024-09-14,39,6,RNROA4,9,17.8,17.4,11.2,0.0
129,2024-09-14,40,6,RNROC2,10,20.1,14.5,12.8,0.0
130,2024-09-14,41,6,RNROA3,9,19.2,13.8,10.4,0.0
131,2024-09-14,42,6,RNROB5,8,14.1,11.9,11.4,0.0
132,2024-09-14,43,6,RNROA2,9,16.4,14.2,10.4,0.0
133,2024-09-14,44,6,RNROC4,10,16.3,15.7,10.8,0.0
134,2024-09-14,45,6,RNROB4,11,19.4,16.8,12.5,0.0
135,2024-09-17,1,1,RWGRB5,13,21.4,19.3,11.6,0.0
136,2024-09-17,2,1,RWGRA3,13,17.6,15.8,10.9,0.0
137,2024-09-17,3,1,RWGRC1,15,19.6,19.2,10.2,0.0
138,2024-09-17,4,1,RWGRA2,13,17.2,15.5,11.1,0.0
139,2024-09-17,5,1,RWGRB3,11,22.2,20.2,9.5,0.0
140,2024-09-17,6,1,RWGRA4,10,18.1,16.2,10.2,0.0
141,2024-09-17,7,1,RWGRC3,15,20.2,16.3,10.8,0.0
142,2024-09-17,8,1,RWGRA5,13,19.8,17.7,11.8,0.0
143,2024-09-17,9,2,RWGRC2,15,22.8,21.2,13.2,0.0
144,2024-09-17,10,2,RWGRB4,16,27.1,23.8,14.2,0.0
145,2024-09-17,11,2,RWGRC5,15,19.8,20.4,11.8,0.0
146,2024-09-17,12,2,RWGRB1,17,22.5,22.3,12.5,0.0
147,2024-09-17,13,2,RWGRC4,14,22.1,19.8,11.8,0.0
148,2024-09-17,14,2,RWGRB2,12,15.6,12.2,9.1,0.0
149,2024-09-17,15,2,RWGRA1,15,20.2,18.7,10.3,0.0
150,2024-09-17,16,3,RNGRA3,14,21.5,16.8,11.3,0.0
151,2024-09-17,17,3,RNGRB5,16,23.8,23.2,14.2,0.0
152,2024-09-17,18,3,RNGRC4,16,23.1,20.8,11.8,0.0
153,2024-09-17,19,3,RNGRA1,16,20.3,17.3,13.2,0.0
154,2024-09-17,20,3,RNGRC5,15,23.3,18.2,12.9,0.0
155,2024-09-17,21,3,RNGRB2,15,23.4,19.6,11.5,0.0
156,2024-09-17,22,3,RNGRA2,13,20.8,19.6,12.5,0.0
157,2024-09-17,23,4,RNROB2,10,19.8,15.7,9.9,0.0
158,2024-09-17,24,4,RNROC3,10,20.4,16.2,12.1,0.0
159,2024-09-17,25,4,RNROA5,7,15.3,13.8,10.1,0.0
160,2024-09-17,26,4,RNROC5,11,18.3,16.2,11.1,0.0
161,2024-09-17,27,4,RNROB3,9,20.5,15.6,10.4,0.0
162,2024-09-17,28,4,RNROA1,4,9.8,8.1,7.9,0.0
163,2024-09-17,29,4,RNROC1,9,18.4,17.1,10.3,0.0
164,2024-09-17,30,5,RNGRC1,16,21.8,19.7,14.2,0.0
165,2024-09-17,31,5,RNGRB3,16,23.2,19.7,15.1,0.0
166,2024-09-17,32,5,RNGRA5,14,20.4,18.2,12.8,0.0
167,2024-09-17,33,5,RNGRB1,15,21.3,19.5,13.4,0.0
168,2024-09-17,34,5,RNGRC3,16,21.7,21.5,13.1,0.0
169,2024-09-17,35,5,RNGRB4,15,19.9,20.7,13.2,0.0
170,2024-09-17,36,5,RNGRA4,11,19.2,15.5,12.1,0.0
171,2024-09-17,37,5,RNGRC2,13,23.4,20.6,13.1,0.0
172,2024-09-17,38,6,RNROB1,6,12.6,11.5,8.4,0.0
173,2024-09-17,39,6,RNROA4,9,19.4,15.5,10.8,0.0
174,2024-09-17,40,6,RNROC2,10,21.8,16.1,11.3,0.0
175,2024-09-17,41,6,RNROA3,10,18.8,14.6,10.1,0.0
176,2024-09-17,42,6,RNROB5,9,15.7,13.1,11.9,0.0
177,2024-09-17,43,6,RNROA2,11,16.8,15.9,9.9,0.0
178,2024-09-17,44,6,RNROC4,10,19.6,17.7,12.1,0.0
179,2024-09-17,45,6,RNROB4,12,20.6,17.1,12.3,0.0
180,2024-09-20,1,1,RWGRB5,13,22.1,21.8,10.15,0.3533333333333333
181,2024-09-20,2,1,RWGRA3,13,22.4,19.6,6.15,0.31
182,2024-09-20,3,1,RWGRC1,15,24.6,21.7,8.65,0.4133333333333333
183,2024-09-20,4,1,RWGRA2,13,18.7,18.1,8.15,0.3899999999999999
184,2024-09-20,5,1,RWGRB3,11,22.9,21.8,7.45,0.3433333333333333
185,2024-09-20,6,1,RWGRA4,11,23.1,19.6,9.55,0.4000000000000001
186,2024-09-20,7,1,RWGRC3,13,22.1,21.8,7.05,0.3166666666666666
187,2024-09-20,8,1,RWGRA5,13,19.6,18.8,9.35,0.3833333333333333
188,2024-09-20,9,2,RWGRC2,16,23.2,21.6,9.55,0.3633333333333333
189,2024-09-20,10,2,RWGRB4,15,27.2,24.6,9.45,0.32
190,2024-09-20,11,2,RWGRC5,15,24.6,22.2,9.45,0.34
191,2024-09-20,12,2,RWGRB1,15,27.5,25.1,10.55,0.3433333333333333
192,2024-09-20,13,2,RWGRC4,16,22.4,21.6,9.55,0.38
193,2024-09-20,14,2,RWGRB2,7,16.4,7.5,5.95,0.26
194,2024-09-20,15,2,RWGRA1,12,22.4,20.3,9.95,0.3266666666666666
195,2024-09-20,16,3,RNGRA3,14,21.5,20.4,11.9,0.4166666666666667
196,2024-09-20,17,3,RNGRB5,16,26.8,23.4,8.95,0.3966666666666666
197,2024-09-20,18,3,RNGRC4,15,26.4,23.4,10.15,0.3933333333333333
198,2024-09-20,19,3,RNGRA1,11,23.1,22.8,9.35,0.3566666666666666
199,2024-09-20,20,3,RNGRC5,17,23.6,20.8,9.45,0.3366666666666666
200,2024-09-20,21,3,RNGRB2,14,24.6,24.4,9.55,0.3233333333333333
201,2024-09-20,22,3,RNGRA2,12,22.7,18.6,11.05,0.3366666666666666
202,2024-09-20,23,4,RNROB2,10,21.6,18.5,8.45,0.24
203,2024-09-20,24,4,RNROC3,12,18.1,16.4,7.05,0.2933333333333334
204,2024-09-20,25,4,RNROA5,8,19.7,13.5,7.55,0.3066666666666667
