,Number,Line,Sample,CODE,No leaves,Diameter,Perpendicular,Height,Max. Temp.,Min. Temp.,Mean. Temp.,Max. Hum.,Min. Hum.,Mean. Hum.,Combined Temperature Average,Combined Temperature Std Dev,Combined Humidity Average,Combined Humidity Std Dev,BBCH,Average Leaf Thickness
2024-09-07,21,3,N,RNGRB2,10,14.4,12.3,9.4,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,22,3,N,RNGRA2,10,11.6,10.9,9.3,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,37,0.0
2024-09-07,23,4,N,RNROB2,6,11.1,8.2,8.7,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,37,0.0
2024-09-07,24,4,N,RNROC3,7,11.4,10.2,9.7,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,39,0.0
2024-09-07,25,4,N,RNROA5,4,9.7,5.2,8.1,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,26,4,N,RNROC5,7,10.9,8.4,7.6,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,27,4,N,RNROB3,5,11.4,10.2,9.6,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,28,4,N,RNROA1,3,6.5,4.3,5.1,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,29,4,N,RNROC1,5,11.7,7.9,9.2,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,30,5,N,RNGRC1,11,13.4,13.1,13.8,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,31,5,N,RNGRB3,10,13.3,9.5,9.9,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,32,5,N,RNGRA5,7,10.2,6.8,9.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,33,5,N,RNGRB1,9,11.8,9.9,9.4,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,34,5,N,RNGRC3,12,13.8,12.6,10.9,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
