Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
4;1;W;03/10/2024;RWGRA2;15;24,8;23,6;11,55;0,28;0,3;0,3;0,25;0,32
5;1;W;03/10/2024;RWGRB3;12;23,5;20,4;9,05;0,25;0,31;0,31;0,31;
6;1;W;03/10/2024;RWGRA4;10;24,5;18,4;8,85;0,3;0,35;0,3;0,33;
7;1;W;03/10/2024;RWGRC3;16;23,6;23,8;8,55;0,38;0,35;0,3;0,31;
8;1;W;03/10/2024;RWGRA5;15;24,8;26,2;10,25;0,23;0,27;0,31;0,27;
9;2;W;03/10/2024;RWGRC2;12;28,6;27,4;13,75;0,34;0,27;0,31;0,32;
10;2;W;03/10/2024;RWGRB4;15;33,1;29,6;13,25;0,31;0,4;0,34;0,29;
11;2;W;03/10/2024;RWGRC5;16;27,8;25,6;15,15;0,33;0,34;0,35;0,32;
12;2;W;03/10/2024;RWGRB1;14;30,4;24,8;11,85;0,23;0,31;0,27;0,31;
13;2;W;03/10/2024;RWGRC4;11;27,6;26,8;7,15;0,32;0,28;0,29;0,3;
14;2;W;03/10/2024;RWGRB2;10;22,4;21,5;7,05;0,27;0,33;0,25;0,22;
15;2;W;03/10/2024;RWGRA1;15;26,7;27,5;8,35;0,26;0,27;0,31;0,31;
16;3;N;03/10/2024;RNGRA3;16;31,4;30,6;11,45;0,24;0,28;0,26;0,26;0,28
17;3;N;03/10/2024;RNGRB5;15;31,7;33,1;13,95;0,32;0,18;0,22;0,25;
18;3;N;03/10/2024;RNGRC4;16;27,6;26,2;12,15;0,3;0,31;0,29;0,26;
19;3;N;03/10/2024;RNGRA1;15;29,1;20,6;11,25;0,31;0,29;0,22;0,24;
20;3;N;03/10/2024;RNGRC5;14;31,2;29,3;11,55;0,25;0,23;0,33;0,26;
21;3;N;03/10/2024;RNGRB2;15;30,5;29,8;12,35;0,22;0,33;0,32;0,26;0,26
22;3;N;03/10/2024;RNGRA2;13;30,1;26,6;12,05;0,25;0,31;0,27;0,32;
23;4;N;03/10/2024;RNROB2;11;24,7;21,6;11,05;0,43;0,39;0,23;0,35;
24;4;N;03/10/2024;RNROC3;7;21,4;15,1;9,85;0,3;0,34;0,39;0,35;
25;4;N;03/10/2024;RNROA5;8;24,2;19,8;9,55;0,44;0,38;0,32;0,33;
26;4;N;03/10/2024;RNROC5;7;23,4;20,6;9,35;0,33;0,39;0,41;0,26;
27;4;N;03/10/2024;RNROB3;10;26,4;17,5;9,25;0,26;0,31;0,26;0,29;
28;4;N;03/10/2024;RNROA1;8;16,8;14,5;7,35;0,34;0,28;0,3;0,24;
29;4;N;03/10/2024;RNROC1;7;27,1;18,8;7,15;0,5;0,28;0,45;0,51;
30;5;N;03/10/2024;RNGRC1;15;34,5;29,6;11,15;0,27;0,32;0,31;0,3;
31;5;N;03/10/2024;RNGRB3;11;32,4;31,7;15,35;0,31;0,28;0,24;0,28;
32;5;N;03/10/2024;RNGRA5;8;29,1;19,2;11,85;0,25;0,29;0,29;0,29;
33;5;N;03/10/2024;RNGRB1;10;26,8;29,2;12,15;0,26;0,3;0,29;0,25;
34;5;N;03/10/2024;RNGRC3;13;30,1;24,5;11,35;0,29;0,31;0,33;0,29;
35;5;N;03/10/2024;RNGRB4;12;29,2;22,5;11,35;0,24;0,22;0,33;0,28;
36;5;N;03/10/2024;RNGRA4;13;25,6;33,4;12,95;0,25;0,26;0,25;0,26;
37;5;N;03/10/2024;RNGRC2;12;30,2;26,6;9,15;0,28;0,33;0,28;0,28;
38;6;N;03/10/2024;RNROB1;7;16,1;22,6;10,35;0,42;0,38;0,43;0,35;
39;6;N;03/10/2024;RNROA4;10;21,7;19,2;10,35;0,42;0,33;0,3;0,36;
40;6;N;03/10/2024;RNROC2;9;22,5;19,8;9,05;0,4;0,39;0,36;0,28;
41;6;N;03/10/2024;RNROA3;11;26,8;24,5;10,15;0,4;0,32;0,27;0,31;
42;6;N;03/10/2024;RNROB5;7;30,1;22,6;11,85;0,32;0,26;0,33;0,37;
43;6;N;03/10/2024;RNROA2;11;22,8;20,5;10,35;0,4;0,35;0,39;0,32;
44;6;N;03/10/2024;RNROC4;10;30,5;26,2;11,55;0,38;0,32;0,33;0,37;
45;6;N;03/10/2024;RNROB4;11;20,6;23,1;9,95;0,43;0,38;0,37;0,35;
