Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
36;5;N;11/09/2024;RNGRA4;8;11,9;8,6;9,7;;;;;
37;5;N;11/09/2024;RNGRC2;11;20,4;13,8;14,1;;;;;
38;6;N;11/09/2024;RNROB1;4;8,4;7,6;7,9;;;;;
39;6;N;11/09/2024;RNROA4;8;16,9;13,2;10,6;;;;;
40;6;N;11/09/2024;RNROC2;9;17,8;12,1;12,1;;;;;
41;6;N;11/09/2024;RNROA3;8;16,8;12,7;10,5;;;;;
42;6;N;11/09/2024;RNROB5;6;13,1;9,6;7,5;;;;;
43;6;N;11/09/2024;RNROA2;7;13,4;11,5;9,6;;;;;
44;6;N;11/09/2024;RNROC4;8;12,8;11,9;9,6;;;;;
45;6;N;11/09/2024;RNROB4;8;14,6;14,3;12,1;;;;;
1;1;W;14/09/2024;RWGRB5;13;19,1;16,8;10,4;;;;;
2;1;W;14/09/2024;RWGRA3;13;17,8;15,1;11,3;;;;;
3;1;W;14/09/2024;RWGRC1;17;18,1;18,5;9,7;;;;;
4;1;W;14/09/2024;RWGRA2;14;16,2;16,5;10,2;;;;;
5;1;W;14/09/2024;RWGRB3;11;20,5;17,6;10,1;;;;;
6;1;W;14/09/2024;RWGRA4;11;19,5;14,2;8,7;;;;;
7;1;W;14/09/2024;RWGRC3;13;18,1;16,5;10,2;;;;;
8;1;W;14/09/2024;RWGRA5;14;17,3;14,2;9,7;;;;;
9;2;W;14/09/2024;RWGRC2;16;20,9;19,6;11,5;;;;;
10;2;W;14/09/2024;RWGRB4;14;23,6;20,7;12,2;;;;;
11;2;W;14/09/2024;RWGRC5;13;19,2;18,1;11,8;;;;;
12;2;W;14/09/2024;RWGRB1;12;20,1;19,8;12,2;;;;;
13;2;W;14/09/2024;RWGRC4;14;18,9;19,6;10,7;;;;;
14;2;W;14/09/2024;RWGRB2;11;14,7;11,7;10,2;;;;;
15;2;W;14/09/2024;RWGRA1;15;17,9;17,1;11,4;;;;;
16;3;N;14/09/2024;RNGRA3;12;21,2;13,8;12,5;;;;;
17;3;N;14/09/2024;RNGRB5;13;23,6;22,4;12,8;;;;;
18;3;N;14/09/2024;RNGRC4;15;21,5;20,4;13,1;;;;;
19;3;N;14/09/2024;RNGRA1;13;17,5;15,6;11,8;;;;;
20;3;N;14/09/2024;RNGRC5;14;21,1;17,8;12,2;;;;;
21;3;N;14/09/2024;RNGRB2;12;18,4;18,9;11,9;;;;;
22;3;N;14/09/2024;RNGRA2;12;21,2;17,7;10,2;;;;;
23;4;N;14/09/2024;RNROB2;9;18,8;14,1;11,6;;;;;
24;4;N;14/09/2024;RNROC3;9;16,4;15,8;11,2;;;;;
25;4;N;14/09/2024;RNROA5;7;13,3;11,2;8,1;;;;;
26;4;N;14/09/2024;RNROC5;9;16,7;15,8;11,2;;;;;
27;4;N;14/09/2024;RNROB3;8;18,7;15,2;9,6;;;;;
28;4;N;14/09/2024;RNROA1;5;9,6;7,8;7,1;;;;;
29;4;N;14/09/2024;RNROC1;9;15,3;12,5;11,2;;;;;
30;5;N;14/09/2024;RNGRC1;15;20,7;19,2;13,4;;;;;
31;5;N;14/09/2024;RNGRB3;14;21,1;16,4;13,8;;;;;
32;5;N;14/09/2024;RNGRA5;11;15,4;17,1;12,8;;;;;
33;5;N;14/09/2024;RNGRB1;12;21,2;17,4;13,6;;;;;
34;5;N;14/09/2024;RNGRC3;14;20,2;22,4;13,1;;;;;
35;5;N;14/09/2024;RNGRB4;15;19,4;17,8;11,4;;;;;
36;5;N;14/09/2024;RNGRA4;10;15,4;12,7;12,9;;;;;
37;5;N;14/09/2024;RNGRC2;12;17,9;20,2;13,3;;;;;
38;6;N;14/09/2024;RNROB1;5;10,4;9,7;7,9;;;;;
39;6;N;14/09/2024;RNROA4;9;17,8;17,4;11,2;;;;;
40;6;N;14/09/2024;RNROC2;10;20,1;14,5;12,8;;;;;
41;6;N;14/09/2024;RNROA3;9;19,2;13,8;10,4;;;;;
42;6;N;14/09/2024;RNROB5;8;14,1;11,9;11,4;;;;;
43;6;N;14/09/2024;RNROA2;9;16,4;14,2;10,4;;;;;
44;6;N;14/09/2024;RNROC4;10;16,3;15,7;10,8;;;;;
45;6;N;14/09/2024;RNROB4;11;19,4;16,8;12,5;;;;;
1;1;W;17/09/2024;RWGRB5;13;21,4;19,3;11,6;;;;;
2;1;W;17/09/2024;RWGRA3;13;17,6;15,8;10,9;;;;;
3;1;W;17/09/2024;RWGRC1;15;19,6;19,2;10,2;;;;;
4;1;W;17/09/2024;RWGRA2;13;17,2;15,5;11,1;;;;;
5;1;W;17/09/2024;RWGRB3;11;22,2;20,2;9,5;;;;;
6;1;W;17/09/2024;RWGRA4;10;18,1;16,2;10,2;;;;;
7;1;W;17/09/2024;RWGRC3;15;20,2;16,3;10,8;;;;;
8;1;W;17/09/2024;RWGRA5;13;19,8;17,7;11,8;;;;;
9;2;W;17/09/2024;RWGRC2;15;22,8;21,2;13,2;;;;;
10;2;W;17/09/2024;RWGRB4;16;27,1;23,8;14,2;;;;;
11;2;W;17/09/2024;RWGRC5;15;19,8;20,4;11,8;;;;;
12;2;W;17/09/2024;RWGRB1;17;22,5;22,3;12,5;;;;;
13;2;W;17/09/2024;RWGRC4;14;22,1;19,8;11,8;;;;;
14;2;W;17/09/2024;RWGRB2;12;15,6;12,2;9,1;;;;;
15;2;W;17/09/2024;RWGRA1;15;20,2;18,7;10,3;;;;;
16;3;N;17/09/2024;RNGRA3;14;21,5;16,8;11,3;;;;;
